Current packet size,Previous packet size,Current time gap,Previous time gap,traffic_class
1176,0,0.0,0.0,HTTPS_WEB
581,1176,0.017926,0.0,HTTPS_WEB
1390,581,0.029715,0.017926,HTTPS_WEB
409,1390,0.042845,0.029715,HTTPS_WEB
1105,409,0.016488,0.042845,HTTPS_WEB
1460,1105,0.016488,0.016488,HTTPS_WEB
553,1460,0.043688,0.016488,HTTPS_WEB
701,553,0.031512,0.043688,HTTPS_WEB
934,701,0.012958,0.031512,HTTPS_WEB
723,934,0.028138,0.012958,HTTPS_WEB
357,723,0.013049,0.028138,HTTPS_WEB
923,357,0.013014,0.013049,HTTPS_WEB
528,923,0.023629,0.013014,HTTPS_WEB
1065,528,0.008699,0.023629,HTTPS_WEB
578,1065,0.005874,0.008699,HTTPS_WEB
1442,578,0.011566,0.005874,HTTPS_WEB
625,1442,0.004808,0.011566,HTTPS_WEB
787,625,0.024714,0.004808,HTTPS_WEB
1184,787,0.00638,0.024714,HTTPS_WEB
469,1184,0.001185,0.00638,HTTPS_WEB
979,469,0.041985,0.001185,HTTPS_WEB
1357,979,0.016613,0.041985,HTTPS_WEB
337,1357,0.021013,0.016613,HTTPS_WEB
964,337,0.001371,0.021013,HTTPS_WEB
990,964,0.011834,0.001371,HTTPS_WEB
1173,990,0.021664,0.011834,HTTPS_WEB
467,1173,0.002735,0.021664,HTTPS_WEB
437,467,0.025635,0.002735,HTTPS_WEB
1082,437,0.01099,0.025635,HTTPS_WEB
1003,1082,0.015625,0.01099,HTTPS_WEB
987,1003,0.010974,0.015625,HTTPS_WEB
1021,987,0.047784,0.010974,HTTPS_WEB
661,1021,0.019798,0.047784,HTTPS_WEB
981,661,0.004134,0.019798,HTTPS_WEB
1002,981,0.032338,0.004134,HTTPS_WEB
649,1002,0.001687,0.032338,HTTPS_WEB
1460,649,0.023133,0.001687,HTTPS_WEB
1065,1460,0.009395,0.023133,HTTPS_WEB
483,1065,7.7e-05,0.009395,HTTPS_WEB
1129,483,0.022953,7.7e-05,HTTPS_WEB
558,1129,0.031077,0.022953,HTTPS_WEB
1175,558,0.022571,0.031077,HTTPS_WEB
1305,1175,0.018265,0.022571,HTTPS_WEB
612,1305,0.015483,0.018265,HTTPS_WEB
1237,612,0.002178,0.015483,HTTPS_WEB
1044,1237,0.009202,0.002178,HTTPS_WEB
1187,1044,0.01309,0.009202,HTTPS_WEB
1460,1187,0.035857,0.01309,HTTPS_WEB
814,1460,0.025154,0.035857,HTTPS_WEB
636,814,0.006446,0.025154,HTTPS_WEB
588,636,0.024861,0.006446,HTTPS_WEB
614,588,0.014224,0.024861,HTTPS_WEB
