flow_id,capture_id,traffic_class,label,transport_protocol,duration,packet_count,forward_packet_count,backward_packet_count,total_bytes,forward_bytes,backward_bytes,mean_packet_size,median_packet_size,std_packet_size,min_packet_size,max_packet_size,p25_packet_size,p75_packet_size,p90_packet_size,p95_packet_size,p99_packet_size,mean_iat,median_iat,std_iat,min_iat,max_iat,p25_iat,p75_iat,p90_iat,p95_iat,p99_iat,packet_rate,byte_rate,packet_direction_ratio,byte_direction_ratio,burst_count,forward_burst_count,backward_burst_count,mean_burst_packets,max_burst_packets,mean_burst_bytes,max_burst_bytes,active_time,idle_time,split,packet_window
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,TCP,0.106975,5,3,2,4661,2166,2495,932.2,1105.0,373.0841,409,1390,581.0,1176.0,1304.4,1347.2,1381.44,0.026744,0.023821,0.010619,0.016488,0.042845,0.017566,0.032997,0.038906,0.040875,0.042451,46.7399,43570.9278,0.6,0.4647,4,2,2,1.25,2,1165.25,1757,0.08558,0.021395,train,5
flow_http3_web_fsv871,cap_http3_web_yzoyn6,HTTP3_WEB,1,QUIC,0.109391,5,4,1,4905,4316,589,981.0,958.0,255.907,589,1365,884.0,1109.0,1262.6,1313.8,1354.76,0.027348,0.026311,0.007147,0.018667,0.038104,0.022631,0.031027,0.035273,0.036689,0.037821,45.7076,44839.155,0.8,0.8799,2,1,1,2.5,4,2452.5,4316,0.087513,0.021878,train,5
flow_doh_mcikpt,cap_doh_k93tyt,DOH,2,TCP,0.181612,5,3,2,1147,765,382,229.4,209.0,56.6413,172,305,173.0,288.0,298.2,301.6,304.32,0.045403,0.03784,0.015906,0.033195,0.072737,0.03605,0.047193,0.062519,0.067628,0.071715,27.5312,6315.662,0.6,0.667,5,3,2,1.0,1,229.4,305,0.14529,0.036322,train,5
flow_doh3_fkhmy4,cap_doh3_sj6bw3,DOH3,3,QUIC,0.087548,5,3,2,1085,682,403,217.0,222.0,55.9714,116,287,220.0,240.0,268.2,277.6,285.12,0.021887,0.019231,0.006811,0.015676,0.033411,0.018191,0.022927,0.029217,0.031314,0.032992,57.1115,12393.2014,0.6,0.6286,5,3,2,1.0,1,217.0,287,0.070038,0.01751,validation,5
flow_doq_zue8yf,cap_doq_bntpbn,DOQ,4,QUIC,0.075288,5,3,2,902,516,386,180.4,185.0,33.8975,118,213,178.0,208.0,211.0,212.0,212.8,0.018822,0.011641,0.017667,0.003176,0.048829,0.009339,0.021125,0.037747,0.043288,0.047721,66.4116,11980.6609,0.6,0.5721,5,3,2,1.0,1,180.4,213,0.06023,0.015058,test,5
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,TCP,0.239758,10,5,5,9032,3420,5612,903.2,828.5,347.4386,409,1460,611.0,1158.25,1397.0,1428.5,1453.7,0.02664,0.028138,0.010842,0.012958,0.043688,0.016488,0.031512,0.043014,0.043351,0.043621,41.7087,37671.3186,0.5,0.3787,6,3,3,1.6667,2,1505.3333,2565,0.191806,0.047952,train,10
flow_http3_web_fsv871,cap_http3_web_yzoyn6,HTTP3_WEB,1,QUIC,0.186068,10,8,2,9106,7699,1407,910.6,937.0,286.9858,284,1365,834.5,1092.5,1162.5,1263.75,1344.75,0.020674,0.018723,0.010168,0.000726,0.038104,0.015196,0.028634,0.030555,0.03433,0.037349,53.7438,48939.0975,0.8,0.8455,4,2,2,2.5,4,2276.5,4316,0.148854,0.037214,train,10
flow_doh_mcikpt,cap_doh_k93tyt,DOH,2,TCP,0.363486,8,4,4,1672,966,706,209.0,205.0,75.7727,54,305,172.75,274.5,293.1,299.05,303.81,0.051927,0.045479,0.018405,0.033195,0.085774,0.03784,0.061679,0.077952,0.081863,0.084992,22.0091,4599.9021,0.5,0.5778,8,4,4,1.0,1,209.0,305,0.290789,0.072697,train,10
flow_doh3_fkhmy4,cap_doh3_sj6bw3,DOH3,3,QUIC,0.124157,7,4,3,1351,813,538,193.0,220.0,60.6536,116,287,133.0,231.0,258.8,272.9,284.18,0.020693,0.019231,0.009506,0.005275,0.033411,0.016514,0.028358,0.032372,0.032892,0.033307,56.3802,10881.3841,0.5714,0.6018,7,4,3,1.0,1,193.0,287,0.099326,0.024831,validation,10
flow_doq_zue8yf,cap_doq_bntpbn,DOQ,4,QUIC,0.084678,6,3,3,1131,516,615,188.5,196.5,35.855,118,229,179.75,211.75,221.0,225.0,228.2,0.016936,0.011393,0.016246,0.003176,0.048829,0.00939,0.01189,0.034053,0.041441,0.047351,70.8567,13356.4798,0.5,0.4562,6,3,3,1.0,1,188.5,229,0.067742,0.016936,test,10
