flow_id,capture_id,traffic_class,label,packet_index,timestamp,direction,packet_size,payload_size,iat,transport_protocol,tcp_flags,quic_packet_type
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,0,0.0,F,1176,1129,0.0,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,1,0.017926,F,581,536,0.017926,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,2,0.047641,B,1390,1345,0.029715,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,3,0.090487,F,409,367,0.042845,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,4,0.106975,B,1105,1077,0.016488,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,5,0.123462,B,1460,1429,0.016488,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,6,0.167151,F,553,533,0.043688,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,7,0.198662,F,701,681,0.031512,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,8,0.21162,B,934,881,0.012958,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,9,0.239758,B,723,672,0.028138,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,10,0.252807,B,357,313,0.013049,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,11,0.265821,F,923,903,0.013014,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,12,0.289451,F,528,493,0.023629,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,13,0.29815,B,1065,1041,0.008699,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,14,0.304024,F,578,537,0.005874,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,15,0.315589,F,1442,1394,0.011566,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,16,0.320397,B,625,603,0.004808,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,17,0.345111,F,787,756,0.024714,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,18,0.35149,B,1184,1139,0.00638,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,19,0.352675,B,469,434,0.001185,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,20,0.39466,B,979,938,0.041985,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,21,0.411273,F,1357,1309,0.016613,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,22,0.432286,B,337,304,0.021013,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,23,0.433657,F,964,917,0.001371,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,24,0.445491,B,990,966,0.011834,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,25,0.467155,F,1173,1124,0.021664,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,26,0.46989,B,467,443,0.002735,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,27,0.495526,B,437,406,0.025635,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,28,0.506516,F,1082,1047,0.01099,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,29,0.522141,F,1003,958,0.015625,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,30,0.533115,F,987,942,0.010974,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,31,0.580899,F,1021,981,0.047784,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,32,0.600697,B,661,609,0.019798,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,33,0.604831,F,981,932,0.004134,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,34,0.637169,F,1002,960,0.032338,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,35,0.638857,F,649,620,0.001687,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,36,0.66199,B,1460,1436,0.023133,TCP,ACK,
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,37,0.671385,B,1065,1012,0.009395,TCP,ACK,
