Current packet size,Previous packet size,Current time gap,Previous time gap,traffic_class
1238,0,0.0,0.0,HTTPS_WEB
1110,1238,0.015032,0.0,HTTPS_WEB
1058,1110,0.020534,0.015032,HTTPS_WEB
1290,1058,0.026661,0.020534,HTTPS_WEB
1365,1290,0.014361,0.026661,HTTPS_WEB
1347,1365,0.014361,0.014361,HTTPS_WEB
1028,1347,0.027054,0.014361,HTTPS_WEB
1124,1028,0.021372,0.027054,HTTPS_WEB
1239,1124,0.012714,0.021372,HTTPS_WEB
1355,1239,0.019798,0.012714,HTTPS_WEB
1093,1355,0.012756,0.019798,HTTPS_WEB
1146,1093,0.01274,0.012756,HTTPS_WEB
980,1146,0.017694,0.01274,HTTPS_WEB
964,980,0.002607,0.017694,HTTPS_WEB
1326,964,0.003926,0.002607,HTTPS_WEB
1424,1326,0.012064,0.003926,HTTPS_WEB
1167,1424,0.00891,0.012064,HTTPS_WEB
1360,1167,0.0182,0.00891,HTTPS_WEB
1245,1360,0.009644,0.0182,HTTPS_WEB
1063,1245,0.006114,0.009644,HTTPS_WEB
1245,1063,0.02626,0.006114,HTTPS_WEB
1456,1245,0.01442,0.02626,HTTPS_WEB
1173,1456,0.016473,0.01442,HTTPS_WEB
1460,1173,0.006027,0.016473,HTTPS_WEB
708,1460,0.012189,0.006027,HTTPS_WEB
1327,708,0.016776,0.012189,HTTPS_WEB
1195,1327,0.007943,0.016776,HTTPS_WEB
1126,1195,0.01863,0.007943,HTTPS_WEB
1196,1126,0.011796,0.01863,HTTPS_WEB
822,1196,0.013958,0.011796,HTTPS_WEB
1140,822,0.011788,0.013958,HTTPS_WEB
1244,1140,0.028966,0.011788,HTTPS_WEB
1446,1244,0.015906,0.028966,HTTPS_WEB
1086,1446,0.008596,0.015906,HTTPS_WEB
1034,1086,0.021758,0.008596,HTTPS_WEB
1089,1034,0.007454,0.021758,HTTPS_WEB
1344,1089,0.017462,0.007454,HTTPS_WEB
1239,1344,0.002282,0.017462,HTTPS_WEB
1084,1239,0.006703,0.002282,HTTPS_WEB
1272,1084,0.017378,0.006703,HTTPS_WEB
1197,1272,0.021169,0.017378,HTTPS_WEB
1354,1197,0.0172,0.021169,HTTPS_WEB
1053,1354,0.01519,0.0172,HTTPS_WEB
1121,1053,0.013892,0.01519,HTTPS_WEB
1109,1121,0.00565,0.013892,HTTPS_WEB
916,1109,0.010961,0.00565,HTTPS_WEB
1233,916,0.012776,0.010961,HTTPS_WEB
1226,1233,0.0234,0.012776,HTTPS_WEB
1180,1226,0.018405,0.0234,HTTPS_WEB
1137,1180,0.003659,0.018405,HTTPS_WEB
